rank,name,mbid,listeners,playcount,url
51,Tate McRae,f9133869-f87c-459c-9aa7-2f176cda7e06,2077575,223877004,https://www.last.fm/music/Tate+McRae
52,Don Toliver,a0723a3c-4135-438e-85c5-012712144ede,2276647,217056498,https://www.last.fm/music/Don+Toliver
53,sombr,502cf908-9921-48bc-bf0e-265c881c0156,1481886,57648272,https://www.last.fm/music/sombr
54,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,6305020,1049098039,https://www.last.fm/music/The+Beatles
55,Laufey,21a89505-10a9-4ac0-8388-833bc07b9f86,2051009,216144076,https://www.last.fm/music/Laufey
56,Mac Miller,a0e8a1b1-5f8f-475a-a253-17415c17d0ff,3343390,399885515,https://www.last.fm/music/Mac+Miller
57,KATSEYE,abbf7d85-9a7f-4a6c-80bd-bf71f2c7d520,1246964,71252654,https://www.last.fm/music/KATSEYE
58,Kali Uchis,d0c7656d-8169-4f77-9dbe-b8f24e40105d,2878846,287238187,https://www.last.fm/music/Kali+Uchis
59,Maroon 5,0ab49580-c84f-44d4-875f-d83760ea2cfe,6389178,268819154,https://www.last.fm/music/Maroon+5
60,Britney Spears,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,6191355,471207501,https://www.last.fm/music/Britney+Spears
61,Steve Lacy,ca9766a0-1c30-43e6-a213-bac1334efc4a,2936851,267247227,https://www.last.fm/music/Steve+Lacy
62,Lil Uzi Vert,8837b875-3689-4646-b3fd-d8b53815c7a8,2556934,391494577,https://www.last.fm/music/Lil+Uzi+Vert
63,Cigarettes After Sex,34557d8f-ee4a-44ab-ae6e-49bb8ac604d0,2682108,276326167,https://www.last.fm/music/Cigarettes+After+Sex
64,LE SSERAFIM,1ee37742-1e3d-4e61-84d2-bc85f4c1459a,1477754,250030048,https://www.last.fm/music/LE+SSERAFIM
65,My Chemical Romance,c07f0676-9143-4217-8a9f-4c26bd636f13,4648139,495303268,https://www.last.fm/music/My+Chemical+Romance
66,Daniel Caesar,b46e298d-d3a5-4695-a03e-63e8c523b23e,2157583,203195300,https://www.last.fm/music/Daniel+Caesar
67,Bad Bunny,89aa5ecb-59ad-46f5-b3eb-2d424e941f19,2078694,323870140,https://www.last.fm/music/Bad+Bunny
68,Twenty One Pilots,a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,3115418,382274635,https://www.last.fm/music/Twenty+One+Pilots
69,The Strokes,f181961b-20f7-459e-89de-920ef03c7ed0,5527334,453853717,https://www.last.fm/music/The+Strokes
70,Olivia Dean,15e0d608-0869-429b-898d-3d8db3ecedd5,904715,32811721,https://www.last.fm/music/Olivia+Dean
71,Red Hot Chili Peppers,8bfac288-ccc5-448d-9573-c33ea2aa5c30,7033847,536858908,https://www.last.fm/music/Red+Hot+Chili+Peppers
72,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,7581609,545069453,https://www.last.fm/music/Eminem
73,System of a Down,cc0b7089-c08d-4c10-b6b0-873582c17fd6,5633649,483843363,https://www.last.fm/music/System+of+a+Down
